Jun  5 11:36:08.567001 - 4296/6068	Unlocking TAM file D:\JDE\ES\jde920\e920\CTPY92\spec\CTPY92FX\glbltbl.ddb  
Jun  5 11:36:08.567002 - 4296/6068	JDETAMA:entering INTUnlockTam with pTamLock:[00000000001b85a0],pTamLock->hIPCTamLock:[00000000001b95c0],pTamLock->szLockName:D:\JDE\ES\jde920\e920\CTPY92\spec\CTPY92FX\glbltbl.ddb 
Jun  5 11:36:08.567003 - 4296/6068	JDETAMA:entering INTUnlockTam nReaders 1 
Jun  5 11:36:08.567004 - 4296/6068	UNLOCK: Total READ locks after operation: 0  
Jun  5 11:36:08.567005 - 4296/6068	JDETAMA:exited INTUNLockTam with pTamLock:[00000000001b85a0]. 
Jun  5 11:36:08.567006 - 4296/6068	IntSpecClose: Returning 'PASSED', Handle=000000000a486780 
Jun  5 11:36:08.567007 - 4296/6068	Opening up local metadata repository. Type - JDESPECTYPE_GBRLINK. 
Jun  5 11:36:08.567008 - 4296/6068	PKGBLD: Entering IntSvrPkgGetSpecIniFilePath 
Jun  5 11:36:08.567009 - 4296/6068	PKGBLD: Entering IntSvrPkgGetPkgSpecIniFilePath 
Jun  5 11:36:08.567010 - 4296/6068	Entering IntSvrPkgGetINIPaths 
Jun  5 11:36:08.567011 - 4296/6068	Entering IntSvrPkgGetINIPaths 
Jun  5 11:36:08.567012 - 4296/6068	PKGBLD: Exiting IntSvrPkgGetPkgSpecIniFilePath 
Jun  5 11:36:08.567013 - 4296/6068	PKGBLD: Exiting IntSvrPkgGetSpecIniFilePath 
Jun  5 11:36:08.567014 - 4296/6068	SetupPackageRDB() - Invalid Package name ().  Using current running package info. 
Jun  5 11:36:08.567015 - 4296/6068	PKGBLD: Entering IntSvrPkgGetSpecIniPrivateProfileString 
Jun  5 11:36:08.567016 - 4296/6068	PKGBLD: Entering IntSvrPkgGetPkgSpecIniFilePath 
Jun  5 11:36:08.567017 - 4296/6068	Entering IntSvrPkgGetINIPaths 
Jun  5 11:36:08.567018 - 4296/6068	Entering IntSvrPkgGetINIPaths 
Jun  5 11:36:08.567019 - 4296/6068	PKGBLD: Exiting IntSvrPkgGetPkgSpecIniFilePath 
Jun  5 11:36:08.567020 - 4296/6068	PKGBLD: Exiting IntSvrPkgGetSpecIniPrivateProfileString 
